,Customer ID,Hari_Sejak_Pembelian_Terakhir,Total_Transaksi,Total_Produk_Dibeli,Total_Belanja,Rata_rata_Belanja,Total_Jenis_Produk_Dibeli,Rata_Hari_Antara_Pembelian,Hari,Jam,Is_UK,Frekuensi_Pembatalan,Tingkat_Pembatalan,Rata_Bulan,Std_Bulan
0,12346.0,164,2,24,169.36,84.68,24,5.130434782608695,0,13,1,0,0.0,84.68,81.50112759956147
1,12347.0,2,2,828,1323.32,661.66,70,0.5285714285714286,6,14,0,0,0.0,661.66,70.89452588176324
2,12348.0,73,1,372,221.16,221.16,19,0.0,0,14,0,0,0.0,221.16,0.0
3,12349.0,42,3,986,2196.99,732.3299999999999,91,3.144230769230769,3,8,0,1,0.3333333333333333,732.3299999999999,656.4790136021104
4,12351.0,10,1,261,300.93,300.93,21,0.0,0,15,0,0,0.0,300.93,0.0
5,12352.0,10,2,188,343.8,171.9,18,0.9411764705882353,0,10,0,0,0.0,343.8,0.0
6,12353.0,43,1,192,317.76,317.76,20,0.0,2,12,0,0,0.0,317.76,0.0
7,12355.0,202,1,303,488.21000000000004,488.21000000000004,22,0.0,4,11,0,0,0.0,488.21000000000004,0.0
8,12356.0,15,3,1803,3124.3,1041.4333333333334,67,0.5375,0,9,0,0,0.0,1562.15,1080.0490397199565
9,12357.0,23,1,3878,11229.99,11229.99,164,0.0,1,10,0,0,0.0,11229.99,0.0
10,12358.0,10,3,826,2519.01,839.6700000000001,51,6.339285714285714,0,10,0,0,0.0,839.6700000000001,581.0880650125246
11,12359.0,60,8,914,2469.36,308.67,110,2.55,1,10,0,2,0.25,493.872,304.20943389382256
12,12360.0,27,3,1287,1310.83,436.9433333333333,73,3.130952380952381,4,9,0,0,0.0,436.9433333333333,291.8908666493923
13,12361.0,97,3,141,276.35,92.11666666666667,13,14.6,1,15,0,0,0.0,92.11666666666667,8.127781575149106
14,12366.0,268,1,296,500.24,500.24,3,0.0,1,10,0,0,0.0,500.24,0.0
15,12368.0,263,1,330,917.6999999999999,917.6999999999999,18,0.0,6,15,0,0,0.0,917.6999999999999,0.0
16,12369.0,48,3,1234,1511.15,503.7166666666667,89,2.550561797752809,3,14,0,0,0.0,503.71666666666664,488.32206302125377
17,12370.0,259,3,246,534.62,178.20666666666668,32,1.4193548387096775,1,9,0,0,0.0,267.31,191.83806973591032
18,12371.0,44,3,836,1819.42,606.4733333333334,90,2.35,1,13,0,0,0.0,909.71,596.8405497283172
19,12373.0,259,2,315,603.0500000000001,301.52500000000003,30,1.4411764705882353,3,12,0,0,0.0,301.52500000000003,79.72628957878327
20,12374.0,56,2,1015,2046.29,1023.145,46,3.4583333333333335,4,14,0,0,0.0,1023.145,516.746564623317
21,12376.0,24,2,237,383.15,191.575,10,2.8,0,8,0,0,0.0,191.57500000000002,227.65302820300897
22,12377.0,16,2,1159,1718.2,859.1,74,2.8493150684931505,3,15,0,0,0.0,859.1,497.60518405659724
23,12378.0,197,1,787,1407.7,1407.7,82,0.0,2,14,0,0,0.0,1407.7,0.0
24,12379.0,57,2,403,692.98,346.49,36,2.9473684210526314,2,14,0,0,0.0,346.49,33.955267632578
25,12380.0,16,5,2192,4747.44,949.4879999999999,117,1.650887573964497,1,15,0,1,0.2,1186.86,942.466277416156
26,12385.0,14,1,594,1668.4,1668.4,64,0.0,3,15,0,0,0.0,1668.4,0.0
27,12386.0,1,1,214,258.9,258.9,8,0.0,2,9,0,0,0.0,258.9,0.0
28,12387.0,50,1,134,143.94,143.94,9,0.0,2,16,0,0,0.0,143.94,0.0
29,12388.0,80,2,539,1120.45,560.225,36,3.022222222222222,3,12,0,0,0.0,560.225,139.44852831779906
30,12389.0,37,3,614,1433.33,477.77666666666664,41,5.25,1,11,0,0,0.0,477.77666666666664,359.39761773463846
31,12391.0,99,6,903,2259.58,376.59666666666664,159,1.106145251396648,2,10,0,1,0.16666666666666666,564.895,503.50749286050024
32,12392.0,226,1,73,234.75000000000003,234.75000000000003,7,0.0,1,14,0,0,0.0,234.75000000000003,0.0
33,12393.0,17,3,489,794.15,264.71666666666664,38,0.9574468085106383,0,16,0,1,0.3333333333333333,397.07500000000005,131.91077003035042
34,12395.0,6,4,1604,1868.64,467.16,82,2.4838709677419355,4,10,0,0,0.0,467.16,380.2402942000406
35,12396.0,309,1,591,931.43,931.43,65,0.0,2,13,0,0,0.0,931.43,0.0
36,12399.0,20,3,1017,808.65,269.55,39,5.48936170212766,4,8,0,0,0.0,269.55,68.72239009231272
37,12400.0,49,1,91,205.25,205.25,11,0.0,3,13,0,0,0.0,205.25,0.0
38,12402.0,27,6,483,928.55,154.75833333333333,39,5.092592592592593,6,12,0,1,0.16666666666666666,185.70999999999998,60.61821508424674
39,12403.0,156,1,162,555.6600000000001,555.6600000000001,3,0.0,1,11,0,0,0.0,555.6600000000001,0.0
40,12406.0,23,4,1574,2791.46,697.865,44,5.049180327868853,4,11,0,1,0.25,930.4866666666667,211.48219436475813
41,12408.0,14,5,776,1272.07,254.414,40,2.207547169811321,4,13,0,2,0.4,424.0233333333333,337.3110656846783
42,12409.0,55,6,7484,12033.539999999999,2005.59,125,0.910828025477707,6,15,0,2,0.3333333333333333,3008.3849999999998,3532.525142212956
43,12410.0,137,1,128,240.38,240.38,13,0.0,6,13,0,0,0.0,240.38,0.0
44,12411.0,44,1,138,346.9,346.9,22,0.0,1,9,0,0,0.0,346.9,0.0
45,12412.0,37,5,1156,1246.15,249.23000000000002,49,2.0454545454545454,4,13,0,2,0.4,415.3833333333334,228.02019128431
46,12413.0,37,1,31,185.35,185.35,12,0.0,1,13,0,0,0.0,185.35,0.0
47,12414.0,98,2,0,0.0,0.0,7,0.0,3,12,0,1,0.5,0.0,0.0
48,12415.0,10,4,14070,19468.84,4867.21,168,0.7259615384615384,0,15,0,0,0.0,4867.21,7850.581430773137
49,12416.0,291,1,132,202.56,202.56,11,0.0,6,10,0,0,0.0,202.56,0.0
50,12417.0,36,15,1297,2733.91,182.26066666666665,143,1.911764705882353,4,10,0,4,0.26666666666666666,303.7677777777778,211.64901782064675
51,12418.0,48,4,680,1348.37,337.0925,61,3.161764705882353,4,10,0,1,0.25,337.09250000000003,241.12981626432403
52,12419.0,20,2,227,391.01,195.505,22,1.2272727272727273,4,10,0,0,0.0,195.505,61.3839396748042
53,12421.0,50,3,162,230.56,76.85333333333334,17,4.944444444444445,2,14,0,1,0.3333333333333333,115.28,99.67377187605574
54,12422.0,29,9,2212,2955.79,328.4211111111111,107,2.6178861788617884,3,12,0,0,0.0,369.47375,197.3295747103235
55,12423.0,22,2,448,667.08,333.54,37,2.108108108108108,2,11,0,0,0.0,333.54,100.04146740227276
56,12424.0,57,5,1275,1528.82,305.764,61,4.666666666666667,2,10,0,3,0.6,509.6066666666666,583.7013709366574
57,12425.0,65,2,607,903.61,451.805,55,0.3103448275862069,4,14,0,1,0.5,451.805,724.6501004277858
58,12426.0,281,2,315,656.6800000000001,328.34000000000003,46,0.32,0,8,0,1,0.5,328.34000000000003,512.1432994777927
59,12427.0,6,1,76,249.5,249.5,9,0.0,4,10,0,0,0.0,249.5,0.0
60,12429.0,0,6,1659,3541.11,590.1850000000001,69,2.4,4,14,0,1,0.16666666666666666,885.2775,642.3186628860061
61,12431.0,8,14,1778,4078.02,291.28714285714284,130,1.863905325443787,4,9,0,3,0.21428571428571427,407.802,298.1059117457716
62,12433.0,1,5,6045,7205.39,1441.078,163,0.3824561403508772,2,8,0,0,0.0,1801.3474999999999,1590.4143862397414
63,12434.0,16,1,138,297.29,297.29,20,0.0,1,13,0,0,0.0,297.29,0.0
64,12435.0,31,4,2903,6096.04,1524.01,68,4.533333333333333,3,16,0,0,0.0,1524.01,814.6489759399443
65,12437.0,28,26,4964,6619.19,254.58423076923074,215,0.9168975069252078,1,9,0,6,0.23076923076923078,661.919,391.63008803518204
66,12439.0,317,3,448,1089.18,363.06,69,0.589041095890411,0,8,0,1,0.3333333333333333,544.59,661.9509421399746
67,12440.0,92,3,305,648.15,216.04999999999998,20,8.125,1,12,0,1,0.3333333333333333,324.075,232.5462071288199
68,12441.0,1,1,120,155.55,155.55,10,0.0,2,10,0,0,0.0,155.55,0.0
69,12443.0,367,1,179,365.31,365.31,20,0.0,0,15,0,0,0.0,365.31,0.0
70,12445.0,35,2,142,293.08000000000004,146.54000000000002,20,1.0,4,12,0,1,0.5,146.54000000000002,219.25967071032468
71,12449.0,73,1,724,678.6,678.6,9,0.0,0,9,0,0,0.0,678.6,0.0
72,12450.0,34,5,307,469.07,93.814,25,2.3548387096774195,4,16,0,2,0.4,156.35666666666668,76.28527795933718
73,12451.0,98,4,2771,3613.0099999999998,903.2524999999999,147,0.41139240506329117,0,12,0,1,0.25,1204.3366666666668,1112.810397926499
74,12454.0,30,5,2232,4098.96,819.792,8,0.6153846153846154,1,10,0,2,0.4,2049.48,2898.4024118124107
75,12455.0,80,4,1211,3383.09,845.7725,120,2.044776119402985,4,12,0,0,0.0,845.7725,545.1263026966014
76,12457.0,52,2,240,434.53,217.265,21,0.7391304347826086,3,17,0,1,0.5,217.265,417.7798995284478
77,12458.0,62,2,477,715.09,357.545,43,1.3953488372093024,4,11,0,0,0.0,357.545,16.87863886692289
78,12459.0,240,1,256,398.36,398.36,22,0.0,1,14,0,0,0.0,398.36,0.0
79,12460.0,91,1,168,296.65,296.65,17,0.0,3,13,0,0,0.0,296.65,0.0
80,12467.0,21,2,0,0.0,0.0,9,2.176470588235294,1,15,0,1,0.5,0.0,187.80756108314705
81,12468.0,65,7,1800,2540.5099999999998,362.92999999999995,104,2.1512605042016806,4,10,0,4,0.5714285714285714,635.1274999999999,683.8268129370672
82,12469.0,157,2,2552,3070.54,1535.27,76,0.18666666666666668,0,12,0,0,0.0,1535.27,596.1900114896256
83,12470.0,324,1,95,211.95,211.95,23,0.0,1,11,0,0,0.0,211.95,0.0
84,12471.0,7,76,8350,16954.4,223.08421052631581,157,0.4578804347826087,0,10,0,32,0.42105263157894735,1304.1846153846154,1008.1858705088016
